Expected constant (n/10): 11352.3

Rank	Word	Frequency	Rank*Frequency
696	রাস্তাতেও	24	16704
697	মহাশয়	24	16728
698	জুন১৯৫৪	24	16752
699	গোমেদ	24	16776
700	লক্ষণ	24	16800
701	জল	24	16824
702	কাজে	24	16848
703	বিক্রয়	24	16872
704	৫০০	24	16896
705	করবেন	24	16920
706	আবেদন	24	16944
707	সজনেডাঁটা	24	16968
708	নীলা	24	16992
709	এমেথিস্ট	24	17016
710	প্রকাশিত	24	17040
711	একজন	24	17064
712	২৪০	24	17088
713	মন্থর	24	17112
714	মেন	24	17136
715	ডিগ্রী	24	17160
716	এপ্রিল১৯৫৪	24	17184
717	বিবাহের	24	17208
718	আচার্য	24	17232
719	উদ্যোগে	24	17256
720	করলে	24	17280
721	যানজটের	24	17304
722	প্রতাপাদিত্য	24	17328
723	নহে	24	17352
724	১৯	24	17376
725	২৯	24	17400
726	দেশের	24	17424
727	মিছিল	24	17448
728	করি	24	17472
729	মাঠে	24	17496
730	থাকলে	23	16790
731	মে১৯৫৪	23	16813
732	উচ্চ	23	16836
733	বৎসরের	23	16859
734	মেরুন	23	16882
735	বড়	23	16905
736	ফাল্গুন	23	16928
737	অনুষ্ঠানে	23	16951
738	অশান্তির	23	16974
739	ইহার	23	16997
740	তাহাতে	23	17020
741	জানুয়ারি	23	17043
742	সাড়ে	23	17066
743	চলবে	23	17089
744	জায়গায়	23	17112
745	সম্মেলনের	23	17135
746	বাধা	23	17158
747	আশা	23	17181
748	বিষয়	23	17204
749	গেলে	23	17227
750	শুধু	23	17250
751	পরিচিত	23	17273
752	বাংলা	23	17296
753	কোথায়	23	17319
754	উল্টোডাঙার	23	17342
755	হাডকো	23	17365
756	যেন	23	17388
757	১৩	23	17411
758	ছাত্রদের	23	17434
759	মত	23	17457
760	রাজ্যের	22	16720
761	গেরুয়া	22	16742
762	চাঁপা	22	16764
763	সিঁদুর	22	16786
764	দুশ্চিন্তা	22	16808
765	পুনর্বাসন	22	16830
766	চালকুমড়ো	22	16852
767	সামান্য	22	16874
768	অদূর	22	16896
769	বাঙ্গলা	22	16918
770	ভাষার	22	16940
771	দ্বিতীয়	22	16962
772	ওপ্যাল	22	16984
773	ক্ষতির	22	17006
774	বিভাগের	22	17028
775	যাওয়া	22	17050
776	সামাজিক	22	17072
777	জাতীয়	22	17094
778	বর্তমানে	22	17116
779	চ্যাটার্জি	22	17138
780	তখন	22	17160
781	দেবেন	22	17182
782	সাফল্যের	22	17204
783	পুরোপুরি	22	17226
784	কোটি	22	17248
785	কলেজে	22	17270
786	সুবিধা	22	17292
787	দশটি	22	17314
788	গাঁধী	22	17336
789	মল্লিকবাজার	22	17358
790	কর্নফিল্ড	22	17380
791	পায়	22	17402
792	কয়েকটি	22	17424
793	ফল	22	17446
794	পুনরায়	22	17468
795	হইয়াছিল	22	17490
796	মিঃ	22	17512
797	কঠোর	21	16737
798	কয়েক	21	16758
799	যাহারা	21	16779
800	গারনেট	21	16800
801	সেন	21	16821
802	মন্তব্য	21	16842
803	আইনি	21	16863
804	জানুয়ারি১৯৫৪	21	16884
805	১৭	21	16905
806	সম্ভব	21	16926
807	করিবে	21	16947
808	বলে	21	16968
809	কর্পোরেশনের	21	16989
810	মাত্র	21	17010
811	চাই	21	17031
812	প্রশ্ন	21	17052
813	ফিকে	21	17073
814	ছিলেন	21	17094
815	নম্বরে	21	17115
816	থাকা	21	17136
817	গোলে	21	17157
818	উঠে	21	17178
819	স্বাধীনতা	21	17199
820	একটা	21	17220
821	বাতিল	21	17241
822	২৩	20	16440
823	নিখিল	20	16460
824	একডালিয়ার	20	16480
825	আমার	20	16500
826	যাইতে	20	16520
827	শ্রীযুক্তা	20	16540
828	হওয়ায়	20	16560
829	পর্ষৎ	20	16580
830	২৭	20	16600
831	হিসাবে	20	16620
832	ব্যয়বৃদ্ধি	20	16640
833	লাউ	20	16660
834	ক্রিম	20	16680
835	ফিরোজা	20	16700
836	ষ্ট্রিটচৌরঙ্গি	20	16720
837	ষ্ট্রিটক্যামাক	20	16740
838	রোডমেয়ো	20	16760
839	অসুবিধা	20	16780
840	পথ	20	16800
841	সম্মেলন	20	16820
842	ময়ূরকণ্ঠী	20	16840
843	বাহির	20	16860
844	সমর্থন	20	16880
845	লীগের	20	16900
846	হন	20	16920
847	যখন	20	16940
848	গঠিত	20	16960
849	অপর	20	16980
850	রাত্রি	20	17000
851	জনসাধারণের	20	17020
852	মনোমালিন্য	20	17040
853	বেগুনি	20	17060
854	প্লাম	20	17080
855	পরিত্যাজ্য	20	17100
856	ভর্তি	20	17120
857	সংশ্লিষ্ট	20	17140
858	বিশ্বাস	20	17160
859	হাওড়া	20	17180
860	প্রবল	20	17200
861	স্বামী	20	17220
862	কলেরা	20	17240
863	মাঘ	19	16397
864	ফেব্রুয়ারি	19	16416
865	চিকিৎসা	19	16435
866	পরিশ্রম	19	16454
867	অধিক	19	16473
868	যাইতেছে	19	16492
869	বৎসরে	19	16511
870	ভ্রমণের	19	16530
871	মাস	19	16549
872	সুচিকিৎসা	19	16568
873	কার্যকরী	19	16587
874	সফল	19	16606
875	রয়েছে	19	16625
876	অবস্থার	19	16644
877	এগেট	19	16663
878	আস্তে	19	16682
879	মনোহরপুকুর	19	16701
880	স্থান	19	16720
881	চলে	19	16739
882	মানুষ	19	16758
883	হাল্কা	19	16777
884	পড়াশোনা	19	16796
885	এলাকায়	19	16815
886	এক্ষণে	19	16834
887	পাল	19	16853
888	বাস	19	16872
889	দিনের	19	16891
890	দাস	19	16910
891	সংস্থার	19	16929
892	বসছে	19	16948
893	মাঝে	19	16967
894	চক্রবর্তী	19	16986
895	নাম	19	17005
896	এসের	19	17024
897	দলকে	19	17043
898	পাওনা	19	17062
899	বক্তৃতা	19	17081
900	সুব্রত	19	17100
901	শ্রেণীর	19	17119
902	আসবে	18	16236
903	মাধ্যমিক	18	16254
904	গিয়া	18	16272
905	কর্তৃপক্ষ	18	16290
906	৪২	18	16308
907	দেখিতে	18	16326
908	মানুষের	18	16344
909	ভোগাতে	18	16362
910	শিশু	18	16380
911	৩৬০	18	16398
912	পূর্ব	18	16416
913	প্রসঙ্গে	18	16434
914	সুযোগের	18	16452
915	সাংবাদিক	18	16470
916	কমিশন	18	16488
917	কতকগুলি	18	16506
918	গোপন	18	16524
919	শত্রুতা	18	16542
920	পরিবর্তনের	18	16560
921	বিবেচনা	18	16578
922	দিবার	18	16596
923	অপেক্ষা	18	16614
924	ক্লাব	18	16632
925	গ্রেপ্তার	18	16650
926	ট্রাম	18	16668
927	আমড়া	18	16686
928	ভুগতে	18	16704
929	আহত	18	16722
930	নামে	18	16740
931	পরিষদের	18	16758
932	অফিসার	18	16776
933	আইন	18	16794
934	কন্ট্রোলের	18	16812
935	নম্বরগুলি	18	16830
936	উন্নতির	18	16848
937	সাহায্যে	18	16866
938	মুখেও	18	16884
939	ব্যক্তির	18	16902
940	কর্ম	18	16920
941	বৈঠকে	18	16938
942	পরাজিত	18	16956
943	সুনাম	17	16031
944	মানিয়ে	17	16048
945	শিক্ষক	17	16065
946	হার	17	16082
947	বেশী	17	16099
948	ফেব্রুয়ারি১৯৫৪	17	16116
949	শিক্ষাগত	17	16133
950	প্রত্যেক	17	16150
951	সম্পাদক	17	16167
952	প্রেমপ্রীতি	17	16184
953	শরৎ	17	16201
954	কেন	17	16218
955	ভাবে	17	16235
956	ঘোরাঘুরি	17	16252
957	গুপ্ত	17	16269
958	গঠন	17	16286
959	সম্প্রতি	17	16303
960	পাইয়াছে	17	16320
961	ষ্টেশনে	17	16337
962	মল্লিক	17	16354
963	বিবেকানন্দ	17	16371
964	জগদীশ	17	16388
965	চন্দ্র	17	16405
966	পূর্ণ	17	16422
967	ভাষায়	17	16439
968	সহকর্মীদের	17	16456
969	মোড়েও	17	16473
970	বাঙ্গলার	17	16490
971	বাঞ্ছনীয়	17	16507
972	৫৫	17	16524
973	কর্মচারী	17	16541
974	মিছিলমিটিং	17	16558
975	৯৮৩০০১০০০০	17	16575
976	৯৮৩০৮১১১১১	17	16592
977	জনৈক	17	16609
978	মজুমদার	17	16626
979	ফাঁস	17	16643
980	আলোচনার	17	16660
981	ফুটবল	17	16677
982	নিজ	17	16694
983	উপার্জন	16	15728
984	ফেব্রুয়ারী	16	15744
985	সেখানে	16	15760
986	ইতি	16	15776
987	ব্যবসায়ীরা	16	15792
988	ফাইন্যাল	16	15808
989	আসিয়া	16	15824
990	লক্ষ্য	16	15840
991	ভবিষ্যতে	16	15856
992	ক্রনিক	16	15872
993	মুখে	16	15888
994	সুরু	16	15904
995	রাখিয়া	16	15920
996	সংগ্রহ	16	15936
997	ধরণের	16	15952
998	অন্যের	16	15968
999	করিতেছে	16	15984
1000	ডালিম	16	16000
1001	সংক্রান্ত	16	16016
1002	আসে	16	16032
1003	সপ্তাহে	16	16048
1004	এত	16	16064
1005	পাঁচ	16	16080
